"Player Id","Ign","Team"
3136,"Adrean","BurstLimit"
7888,"Adrean (deleted)",""
4144,"ADRENALINE","Native Gaming"
5531,"AÐRENALiNE","get coached"
23824,"Adreno","Rampage Esports"
5774,"adri","INTERPOL"
22587,"Adrian (deleted)",""
290,"Adriantje","Mix Mantis"
5372,"adriantjeee (deleted)",""
956,"adrnking","Alter Ego"
6927,"Ads","Boulette Toxic"
24556,"Adsafaras","Aureole Fortis"
27,"aduka","TODAK"
23677,"Adum","UNLV Rebel Gaming"
17171,"Aduu","Regal E-Sports"
4661,"Advance","Area of Effect"
3531,"adverso","Leviatán"
2001,"advice",""
21193,"advise","Team Aurous"
10226,"AdZ",""
11158,"Aefy","Nameless (NA)"
3000,"Aegis","keepYOURskill"
18212,"AéGiS","Tropa do Desmantelo"
18876,"aegroN","5TRAIT"
2975,"aegxn","United Sexy Boyz"
1811,"aeiden","BISONS ECLUB"
24059,"Aelin","Venom BR"
7578,"AEOMkequeq",""
2090,"AeoZora",""
6962,"aer",""
25477,"aer0z","Zeta Gaming"
15641,"Aerah","Creatives"
17072,"aeral","Zero2Hero Esports Academy"
25482,"AERI Juice","Aerial Academy"
25480,"AERI mas","Aerial Academy"
25479,"AERI Miku","Aerial Academy"
18773,"Aerin","Casualties"
25481,"AERI wasd","Aerial Academy"
2378,"Aernius","F704"
14232,"Aero"," X7 Gaming"
5143,"Aero","Wild Spirits"
5142,"Aero (deleted)",""
8212,"aerofólio p meu","locos de lança"
20756,"aeroN","Mad Mare"
10059,"Aeror",""
15562,"ærosol","Doubt the theory"
22410,"Aeryツ","Cereal Killers"
2301,"AeS",""
9973,"Aesculapius","Xterminate"
18011,"Aesop","VPG Headhunters"
14678,"aesthetic","The last Dance LAS"
8373,"Aether","vemdezap"
7362,"Æther","Homies With Extra Chromies"
23921,"Aethla",""
15032,"ÆTtz","Just is Smart"
10025,"AEX","FOXY"
1156,"AEXLY","Crack Heads"
5400,"aeyk0","Muffin Enjoyers"
14193,"AeykO (deleted)",""
9038,"AEZ","SUS Squad"
785,"AFELLAY9","1TAP"
9529,"Affe/chelsy",""
5747,"Affect","NorCal Esports"
12026,"Affi","The Noah Aiello"
8056,"afk","Bnain"
9502,"AFoxx","Angry Titans"
276,"afr0nfire",""
4767,"afroDUCK","UM ABRAÇO"
14461,"Afrokz1","LPX Gaming"
18187,"afshie","WULF Pink"
23206,"afterglow","Thirsts Red"
9498,"Afuro","Team Civics"
15843,"afz","F "
20290,"ag0nyxxx","LongBondage"
21492,"AG4NTx","Scream Academy"
16284,"Againn","super cool komando"
5013,"Agatodemon66","Sinma eSports"
20742,"AGB","Gx"
19621,"AgentGorilla","TikTok Baddies"
10467,"AgentHooks","Iron Division"
23704,"Agent S",""
7232,"AggresiveFox","Coliseo Xibalbá Esports"
25002,"Aggress1veAct","Optumi"
17132,"aggressive","BRATVA"
4421,"aGGroh","TAMU Maroon"
11934,"Aggsy","Rogue"
20004,"AGhans","nebula123"
19540,"agha Panda Gol","Team Reverse"
